"Topic","Words","Date","Market"
39,"university student course college research study education degree campus library staff academic undergraduate learning science postgraduate ranking oxford fee cambridge",2018-11-16,"en-GB"
4,"job apply hiring indeedcouk site largest world totaljobs career vacancy recruitment noticed salary latest search instant match reedcouk manager today",2018-11-16,"en-GB"
40,"football league sport club team fixture result rugby live premier score match cup player sky golf season england soccer cricket",2018-11-16,"en-GB"
41,"dog pet puppy cat animal breed rescue rehome rehoming kennel sell petshomes vet owner terrier training grooming breeder toy forever",2018-11-16,"en-GB"
42,"google map chrome search web webpage gmail image browser android exactly help feature special world view apps looking app youtube",2018-11-16,"en-GB"
43,"sale used dealer gumtree classified vehicle ford van bmw sell hand motor second site search audi auto model range trader",2018-11-16,"en-GB"
44,"time table zone opening hour clock cinema current sunrise sunset minute dst date gmt film sunday daylight long difference moonrise",2018-11-16,"en-GB"
45,"food recipe cake chicken make chocolate delicious healthy dish easy good meal diet drink eat cook add ingredient sauce cooking",2018-11-16,"en-GB"
46,"tax pay income hmrc pension allowance rate vehicle benefit payment credit calculator vat salary claim employee employer april personal band",2018-11-16,"en-GB"
47,"bank banking account lloyd financial loan barclays mortgage plc money branch scotland online credit personal hsbc internet saving payment natwest",2018-11-16,"en-GB"
48,"profile linkedin professional view community listed complete named largest job connection world discover similar exchange idea join leverage company network",2018-11-16,"en-GB"
49,"holiday cottage travel calendar date beach break cruise term destination inclusive family package resort accommodation coach island tui discover tour",2018-11-16,"en-GB"
5,"school primary academy pupil secondary college education comparison high welcome teacher term parent girl catholic date list boy community church",2018-11-16,"en-GB"
50,"insurance cover policy quote travel claim compare national insurer broker financial life pension home pet driver vehicle need cost money",2018-11-16,"en-GB"
51,"business management solution small market marketing customer directory industry energy help project finance employee product software strategy manager client enterprise",2018-11-16,"en-GB"
52,"inch foot centimeter conversion convert meter size length millimeter smart calculator equal samsung square height unit metre converter metric formula",2018-11-16,"en-GB"
53,"blood cause pain body symptom cell disease water treatment heart cancer pressure skin type condition muscle common effect infection patient",2018-11-16,"en-GB"
54,"word letter microsoft office document list scrabble text template phrase page spelling use powerpoint excel writing english sentence pdf sound",2018-11-16,"en-GB"
55,"day week argo fast delivery set collection date hour store month calendar november open work nursery working sunday minute monday",2018-11-16,"en-GB"
56,"cooky use website site experience cookie policy web browser allow information continuing page wont using agree description content improve help",2018-11-16,"en-GB"
57,"test math question paper gcse level learning resource skill training course teacher exam quiz teaching practice language key student answer",2018-11-16,"en-GB"
58,"health mental safety social work act wellbeing care people public risk support assessment national problem community regulation healthcare information training",2018-11-16,"en-GB"
59,"bbc radio live station listen iplayer programme channel need fundraising presenter broadcast audio pudsey sport television internet series broadcasting music",2018-11-16,"en-GB"
6,"game play online fun xbox player unblocked math kid puzzle console fortnite gaming cool nintendo playstation multiplayer video playing board",2018-11-16,"en-GB"
60,"iphone apple ipad ipod itunes case mac app device icloud screen touch watch max apps battery android model iphones display",2018-11-16,"en-GB"
61,"book amazon kindle isbn everyday low library author read eligible story reading fiction prime price store cinema novel order film",2018-11-16,"en-GB"
62,"light led lighting bulb lamp energy switch wall ceiling white outdoor garden battery color solar room colour blue power home",2018-11-16,"en-GB"
63,"john lewis elton partner advert order delivery sir shop born church piano partnership waitrose electricals tour range actor liverpool street",2018-11-16,"en-GB"
64,"park parking street pay airport charge garage display meter station space hour private road map postcode centre ride caravan located",2018-11-16,"en-GB"
65,"new york city zealand brand look series season release home episode open build feature create just building change design album",2018-11-16,"en-GB"
66,"gift perfect idea birthday personalised present item box baby toy unique selection shipping chocolate girl voucher wedding occasion set hamper",2018-11-16,"en-GB"
67,"phone mobile samsung galaxy sim broadband android tablet app pay contract device deal sky network compare smartphone virgin smartphones huawei",2018-11-16,"en-GB"
68,"computer software driver printer device laptop network drive usb wireless desktop screen user control support internet program cable tablet camera",2018-11-16,"en-GB"
69,"account password login sign log username access user enter click forgot forgotten reset register online manage create portal change page",2018-11-16,"en-GB"
7,"restaurant review tripadvisor bar menu pub rated dining unbiased ranked traveller table cuisine location takeaway inn indian read italian pizza",2018-11-16,"en-GB"
70,"data excel cell value table column function click protection chart change information formula row text date act sheet select gdpr",2018-11-16,"en-GB"
71,"centre hospital medical surgery practice doctor patient information hour servicetreatment appointment dental official trust opening healthcare royal road contact garden",2018-11-16,"en-GB"
72,"year old calendar month age event ago early date girl boy week born experience stage november award baby end december",2018-11-16,"en-GB"
73,"shoe boot men bag nike trainer size adidas leather heel footwear shop ankle woman air style kid sandal wide selection",2018-11-16,"en-GB"
74,"definition synonym thesaurus english translation dictionary antonym alternative thesauruscom descriptive online meaning pronunciation language example collins french phrase mean acronym",2018-11-16,"en-GB"
8,"company limited office registered filing history address house annual information officer return account activity charge director financial contact registration network",2018-11-16,"en-GB"
9,"christmas tree festive decoration market santa party shipping perfect item selection carol largest season craft december event ebay xmas advert",2018-11-16,"en-GB"
0,"woman men shoe dress clothing shop boot style jacket range fashion size online coat debenhams collection discover bag shirt wide",2018-11-15,"en-GB"
1,"porn video sex xxx tube movie quality watch pornhubcom clip growing relevant collection high discover pornhub scene teen gay xhamster",2018-11-15,"en-GB"
10,"christmas tree festive decoration market santa party shipping perfect carol selection item advert season largest december xmas jumper craft ebay",2018-11-15,"en-GB"
11,"game play online fun xbox player unblocked math kid puzzle fortnite console gaming cool playing board nintendo new playstation multiplayer",2018-11-15,"en-GB"
12,"product water energy door design range gas supply quality kitchen oil home building steel material wall supplier air high solution",2018-11-15,"en-GB"
